The Tale of purplegwop (468148837723144194)
creations-chat 2020-02-23 15:15:11 hia
bot-central 2020-10-12 17:34:46 !verify
bot-central 2021-04-13 06:54:18 !rank
bot-central 2021-04-13 17:02:20 !rank
bot-central 2021-04-13 17:12:58 !rank
bot-central 2021-04-13 17:47:46 !rank
bot-central 2021-04-13 17:47:50 Finally
bot-central 2021-04-14 06:33:24 !tank
bot-central 2021-04-14 06:33:33 !rank
