The Tale of idkwhatoput (984399329039101983)
creations-chat 2023-06-10 02:18:40 Rip
bot-central 2023-06-10 02:22:41 !rank
bot-central 2023-06-10 02:22:59 Oof
the-dump 2023-06-10 02:44:38 Fr tho
bot-central 2023-06-12 00:41:58 !rank
bot-central 2023-06-12 01:16:24 !rank
bot-central 2023-06-12 01:31:12 !rank
bot-central 2023-06-12 01:31:20 Eeeee
bot-central 2023-06-12 01:31:25 !rank
bot-central 2023-06-12 01:33:01 !rank
